Encounter,Year ,Month,Date,Manta Individual,Ided by,Name,ID Shot?,Sex,Age Class,Pigmentation,Latitude,Longitude,Time Observed,Water Depth (ft),Water Depth (m),Water Temperature (°F),Water Temperature (°C),Dissolved Oxygen (mg/L),Salinity (ppt),Habitat,Disc Width (ft),Disc Width (m),How Disc Width Measured,Encounter Length (minutes),Behavioral Index,Behavior,Feeding,Somersault/Barrel Roll,Travel Direction,Tide,Within 1 km of inlet,Tide Chart Used,Distance to Closest Inlet (km),Which Inlet,Distance to Closest Pier/Jetty,Which Pier,Within 1 km of Pier or Inlet,New Fishing Gear,Fishing Gear Location,Old Fishing Gear Present,2nd Fishing Gear Location,New Injury?,Injury Location,Injury Cause,Recent?,More Injuries?,Associated Species Analysis,Acoustic Tag,Satellite Tag,Genetic Sample,Mucous Sample,Zooplankton Sample,Dorsal Photo,Ventral Photo,Adopted/Named By,Notes,MM Encounter,Verfied,Resting T/F,Feeding T/F
11,2016,Sep,9/22/2016,,FMP Survey,,No,Unknown,Unknown,Normal,26.599760,-80.036061,12:33,5,1.52,,,,,Sand ,6,1.8,Field Estimation,11,,Traveling,N/A,,North,High,No,LWP,6.2,BBI,1.4,LWP,No,No,N/A,,N/A,No,N/A,N/A,N/A,,No,No,No,No,,,Yes,No,,"Found at 1233, CLs unrolled. Jess got in once and got dorsal shot.  Lost manta (swam under boat heading offshore) in glare at 1242.",,,0,0
12,2017,May,5/21/2017,,FMP Survey,,No,Female,Unknown,Normal,26.639889,-80.034938,11:02,9.5,2.9,,,,,Sand,6,1.8,Field Estimation,53,,Not Determined,N/A,,North,Low,No,LWP,10.6,BBI,3,LWP,No,No,N/A,,N/A,No,N/A,N/A,N/A,,No,No,No,No,,,No,No,,Jess got in water. Saw manta very briefy. Due to poor vis (< 5 ft) was unable to locate again. All three of us were able to get in water with manta. She became less skitish over time. Vis imporved to 10-15 ft. BT thinks she may be benthic feeding by sraping CL along bottom (??). Didn't get great photos due to bad viz. We left her at 1225 and she was traveling North,,,0,0
13,2017,Jun,6/1/2017,,FMP Survey,,No,Unknown,Unknown,Normal,26.686758,-80.032503,11:22,5,1.52,80.7,27.06,,,Sand,5,1.5,Field Estimation,8,,Not Determined,N/A,,South,Flood,No,LWP,9.4,LWI,8.2,LWP,No,No,N/A,,N/A,No,N/A,N/A,N/A,,No,No,No,No,,,No,No,,Found Manta c at 1122 traveling south.  Dropped Trixi in water and manta swam west into 3' of water in Breakers.  Then dropped Bethany in the water with manta swimming south.  She was never able to keep up with it and we lost manta during boat pick ups. Manta was travelling SE.  Tried to find again but was unsuccessful ,,,0,0
14,2017,Jun,6/15/2017,11,FMP Survey,Jigsaw,Yes,Male,Immature,Normal,26.560727,-80.038283,10:48,14.4,4.39,80.1,26.72,,,Sand,6,1.8,Field Estimation,12,2,Traveling,N/A,,South,Flood,No,BBI,1.8,BBI,1.8,BBI,No,No,N/A,,N/A,No,N/A,N/A,N/A,,Yes,No,No,No,,,Yes,Yes,,Spotted this manta before survey while driving the boat fast to survey start.  Saw it off the port side as we were running south.  Water was very green and visibility was poor (!5'). Trixi got in water first and got ID and sex shot.  Megan got in next and manta flashed ventral side to her as well. Then Jess got it water and manta allowed her to swim over top.  This manta was very chill and didn't seem bothered by us with no obvious scars.  We lost him swimming south at 1100 due to poor visibility. ,,,0,0
15,2017,Jun,6/28/2017,12,FMP Survey,Nico,Yes,Male,Immature,Normal,26.842370,-80.042238,13:33,4,1.22,83.3,28.5,,,Sand ,6,1.8,Field Estimation,42,2,Traveling,N/A,,North,High,No,LWI,7.7,LWI,5.8,JBP,No,No,N/A,,N/A,No,N/A,N/A,N/A,,Yes,No,No,No,,,Yes,Yes,,Saw Manta 12 at 1333 traveling north just N of McArthur park. All 5 of us got in water with him. Unrolled cephalic lobes. Viz in water was good (~30 ft). Lost him heading N at Seminole at 1415.,,,0,0
16,2017,Jun,6/29/2017,6,FMP Survey,Stevie Nicks,Yes,Female,Unknown,Normal,26.620568,-80.034717,11:51,6,1.83,83,28.33,,,Sand,,0,,59,3,Traveling,N/A,,North,Flood,No,LWP,8.4,BBI,0.9,LWP,Yes,Yes,Dorsal Pectoral,,Ventral Pectoral,No,N/A,N/A,N/A,,Yes,No,No,No,,,Yes,Yes,,"**3 hooks***Found her at 1151 heading north (maybe a little East?) on east side of boat. She was swimming very slowly and didn't seem bothered by us.  She had a hook with fishing line heavily encrusted in algae on left dorsum. She also ahd two hooks under right wingtip with weights and line on them.  She was very calm and allowed me to cut off fishing line.  It took a few tries to cut off weights but I was able to get them off.  After all the line was cut off, she became less friendly and swam off heading north in 9.2 ft of water.  During encounter she frequently rolled and unrolled CL. Viz was good (~30') in deeper water but less so in shallow water.",,,0,0
17,2017,Jun,6/29/2017,13,FMP Survey,,Yes,Male,Immature,Normal,26.651404,-80.035838,13:36,14.9,4.54,84,28.89,,,Sand,5,1.5,Field Estimation,58,1,Traveling,N/A,,South,High,No,LWP,11.9,BBI,4.3,LWP,No,No,N/A,,N/A,No,N/A,N/A,N/A,,Yes,No,No,No,,,Yes,Yes,,"Kind of skittish, switching travel direction often. Left heding East ta 1413. CL rolled most of the time. As we were leaving Manta 6, we saw 2 mantas to the East of the boat.  One was Manta 14 and the other was Manta 13. They were following each other (not sure which was which) about 10 ft. apart heading South. Verified the ID and left Manta 13 at 1516 going North",,,0,0
18,2017,Jun,6/29/2017,14,FMP Survey,,Yes,Female,Unknown,Normal,26.665268,-80.035031,14:37,4,1.22,85.3,29.61,,,Sand,5,1.5,Field Estimation,19,2,Traveling,N/A,,South,Ebb,No,LWP,11.9,LWI,5.8,LWP,No,No,N/A,,N/A,No,N/A,N/A,N/A,,Yes,No,No,No,,,Yes,Yes,,Found at 1437 heading South. Hit groin and turned East. Left her at 1456 going South.,,,0,0
19,2017,Jun,6/30/2017,15,FMP Survey,,Yes,Female,Unknown,Normal,26.854798,-80.040469,10:51,6,1.83,82.8,28.22,,,Sand,6,1.8,Field Estimation,19,1,Traveling,N/A,,North,Flood,No,LWI,9.1,LWI,4.5,JBP,No,No,N/A,,N/A,Yes,Pectoral Fin,Unknown,Healed,,Yes,No,No,No,,,Yes,Yes,,"Found her at 1051. Trixi got in water with her in shallow water. Very skittish. Jess got in with her in 20 ft water. She approached me at rapid spped (""charged"") and then turned and viewed from the side , showing me her ventral side and then swam off. Left her at 1110. Estimated 6' DW",,,0,0
20,2017,Jun,6/30/2017,16,FMP Survey,,Yes,Female,Unknown,Normal,26.835553,-80.034619,11:38,9.4,2.87,83,28.33,,,Sand,5,1.5,Field Estimation,20,2,Traveling,N/A,,South,Flood,No,LWI,6.9,LWI,6.9,JBP,No,No,N/A,,N/A,Yes,,Shark,Healed,,No,No,No,No,,,Yes,Yes,,Found at 1138 going South at McArthur Park.  Pretty chill with us. Rolling and unrolling CLs. Left her at 1158 and she was going N when we left her.,,,0,0
21,2017,Jul,7/3/2017,no ID,FMP Survey,,No,Unknown,Unknown,,26.814775,-80.030067,9:09,22,6.71,81.8,27.67,,,NR,,0,,,,Not Determined,N/A,,,Ebb,No,LWI,4.6,LWI,4.6,LWI,No,,N/A,,N/A,,,,,,No,,,,,,,,,"Saw manta breach and then swim under boat in 22 ft. Lost manta in glare, were unable to get in water (no photo).",,,0,0
22,2017,Jul,7/5/2017,6,FMP Survey,Stevie Nicks,Yes,Female,Unknown,Normal,26.699978,-80.031156,9:37,9.7,2.96,82.7,28.17,,,Hardbottom,,0,,13,2,Traveling,N/A,,South,Ebb,No,LWI,8,LWI,8,LWI,No,No,N/A,,N/A,No,N/A,N/A,N/A,,Yes,No,No,No,,,Yes,Yes,,Found her before survey began swimming south at 0937. CL unrolled. Still pretty chill. Left her at 0950 going East.,,,0,0
23,2017,Jul,7/5/2017,11,FMP Survey,JIgsaw,Yes,Male,Immature,Normal,26.656774,-80.034772,11:35,5,1.52,80.1,26.72,,,Sand,,0,,29,2,Traveling,N/A,,North,Low,No,LWP,12.5,BBI,4.9,LWP,No,No,N/A,,N/A,No,N/A,N/A,N/A,,No,No,No,No,,,No,Yes,,"Saw Manta 11 going N and it then swam inshore. Then saw M6, verified this one and then got in water with M11. M11 maybe feeding, mouth was open at one point. Left at 1204.",,,0,0
24,2017,Jul,7/7/2017,9,FMP Survey,Kevin,Yes,Male,Immature,Normal,26.702344,-80.030312,14:04,6.6,2.01,84.5,29.17,,,Sand,,0,,16,2,Traveling,N/A,,South,Low,No,LWI,7.7,LWI,7.7,LWI,No,No,N/A,,N/A,Yes,Dorsal,Propellor,Recent,,Yes,No,No,No,,,Yes,Yes,,Found manta 9 at 1404 with a spotted eagle ray. Deep wound on back.  Seemed to be swimming alright. Left him at 1420.,,,0,0
25,2017,Jul,7/11/2017,2,FMP Survey,Rocco,Yes,Male,Immature,Normal,26.957230,-80.074767,10:54,11.9,3.63,83.2,28.44,,,Hardbottom,,0,,63,2,Traveling,N/A,,North,High,No,JI,1.5,JI,1.5,JI,No,No,N/A,,N/A,No,N/A,N/A,N/A,,Yes,No,No,No,,,Yes,Yes,,"Found swimming N at 1054 over reef just south of Coral Cove.  Swimming N then E then N swimming practically onshore.  Swam through swim area and then turned S still on shore, turned East.  Flashed Nico for ~10 sec.  Pretty chill, def more chill in deeper water.",,,0,0
26,2017,Jul,7/17/2017,11,FMP Survey,Jigsaw,Yes,Male,Immature,Normal,26.582849,-80.035412,10:39,12.2,3.72,83.8,28.78,,,Sand ,,0,,17,2,Traveling,N/A,,North,Flood,No,LWP,4.2,BBI,3.3,LWP,No,No,N/A,,N/A,No,N/A,N/A,N/A,,Yes,No,No,No,,,Yes,Yes,,Saw Manta 11 traveling N. SER just behind him.  Bethany got ID shot on first try. He was pretty chill and did not seem bothered by us.  Changed direction (likely bc of boat) and we left him at 1056 swimming East.,,,0,0
27,2017,Jul,7/18/2017,9,FMP Survey,Kevin,Yes,Male,Immature,Normal,26.765153,-80.035081,11:25,4,1.22,84.5,29.17,,,Sand ,,0,,17,2,Traveling,N/A,,South,Flood,Yes,LWI,0.8,LWI,0.8,LWI,No,No,N/A,,N/A,Yes,Dorsal,Propellor,Recent,,Yes,No,No,No,,,Yes,Yes,,"Found him just South of LWI. New injury anterior and parallel to previous injury, flesh exposed.",,,0,0
28,2017,Jul,7/21/2017,17,FMP Survey,,Yes,Unknown,Unknown,Melanistic,26.583557,-80.036545,10:37,7.6,2.32,83.6,28.67,,,Sand,6,1.8,Field Estimation,18,1,Not Determined,N/A,,South,Ebb,No,LWP,4.3,BBI,3.2,LWP,No,No,N/A,,N/A,Yes,Dorsal,Propellor,Healed,,No,No,No,No,,,Yes,Yes,,"Found swimming south. Very skittish at first in shallow water. Others got in without much luck. I got in I very shallow water (3 ft) but manta was so close it actually hit me. Video all very close up. When we lost it, it was swimming south along sargassum line (~8 ft of water). After losing him in deeper water and glare, found again swimming south nearshore.  He swam East and Jess got in in ~10 ft of water.  Camera malfunctioned and did not get ID shot (though would have had it had camera functioned). Believe I saw claspers though difficult to tell on black manta.  Lost again swimming south and east. Unable to locate again:(",,,0,0
29,2017,Jul,7/21/2017,18,FMP Survey,,Yes,Male,Immature,Normal,26.645233,-80.035686,12:23,4.3,1.31,84,28.89,,,Sand,7,2.1,Field Estimation,13,1,Traveling,N/A,,South,Low,No,LWP,11,BBI,3.6,LWP,No,No,N/A,,N/A,No,N/A,N/A,N/A,,No,No,No,No,,,No,Yes,,"Found at 1223 going south. Turned N then East, lost in deeper water. Very skittish. Chilled out a little in deeper water.",,,0,0
30,2017,Jul,7/21/2017,19,FMP Survey,Gracie,Yes,Female,Unknown,Normal,26.659044,-80.035276,12:54,3,0.91,84.2,29,,,Sand,7,2.1,Field Estimation,14,2,Traveling,N/A,,North,Low,No,LWP,12.4,LWI,5.1,LWP,No,Yes,Ventral Pectoral,,N/A,No,N/A,N/A,N/A,,Yes,No,No,No,,,Yes,Yes,,"Found at 1254 going north in very shallow water (3'). Hook in right ventral pectoral fin.  Manta was pretty chill and allowed me to cut ~10 ft of fishing line off (saved it). Left her at 1308, impending storms.",,,0,0
31,2017,Jul,7/24/2017,9,FMP Survey,Kevin,Yes,Male,Immature,Normal,26.636523,-80.034477,11:35,13,3.96,82.6,28.11,,,Sand ,,0,,20,2,Traveling,N/A,,South,Ebb,No,LWP,10.1,BBI,2.6,LWP,No,No,N/A,,N/A,No,N/A,N/A,N/A,,Yes,No,No,No,,,Yes,Yes,,"Found him at 1135 heading south. No new injuries. Was pretty chill. Moms got in with him and he swam underneath them. Left him at 1155, still traveling south.",,,0,0
32,2017,Jul,7/24/2017,11,FMP Survey,Jigsaw,Yes,Male,Immature,Normal,26.644435,-80.035261,12:24,8.5,2.59,82.8,28.22,,,Sand,,0,,10,2,Traveling,N/A,,South,Ebb,No,LWP,11,BBI,3.5,LWP,No,No,N/A,,N/A,Yes,,Unknown,Healed,,Yes,No,No,No,,,No,Yes,,Found at 1224 travelling south. Got in water and he swam East to 15 ft. Farily chill with us in water. Left at 1234 traveling south. New scar/nick left posterior near pelvic fins.,,,0,0
33,2017,Jul,7/24/2017,20,FMP Survey,Rosa,Yes,Female,Immature,Normal,26.660689,-80.034629,12:47,5,1.52,83.1,28.39,,,Sand,,0,,17,1,Traveling,N/A,,South,Ebb,No,LWP,12.2,LWI,5.3,LWP,No,No,N/A,,N/A,No,N/A,N/A,N/A,,Yes,No,No,No,,,No,Yes,,"Third manta of the day. Found at 1247, orginally traveling south. Very very skittish. Constantly changing direction. Unrolling and rolling CL.  Left at 1300. Got in again at 1309 when manta was heading East. Left at 1313, still traveling E.",,,0,0
34,2017,Jul,7/24/2017,12,FMP Survey,Nico,Yes,Male,Immature,Normal,26.708802,-80.030862,13:33,10.7,3.26,82.9,28.28,,,Sand,,0,,37,2,Traveling,N/A,,South,Ebb,No,LWI,7,LWI,7,LWI,No,Yes,Dorsal Pectoral,,N/A,No,N/A,N/A,N/A,,Yes,No,No,No,,,No,Yes,,"Found him at 1333, traveling south. Found him in sand but he swam over reef in front of the Breakers. Kind of shy and kind of chill. Had fishing hook in left shoulder with ~3ft of line.  Attempted to remove line but everytime we closely approached he swam away.  Swam over Bethany upside down with mouth open. Left at 1410 and he was traveling East.",,,0,0
35,2017,Jul,7/24/2017,21,FMP Survey,Ginger,Yes,Female,Unknown,Normal,26.735832,-80.032773,14:32,13.3,4.05,84.5,29.17,,,Sand,7,2.1,Field Estimation,23,3,Traveling,N/A,,South,Low,No,LWI,3.9,LWI,3.9,LWI,No,Yes,Anterior Ventral,,N/A,Yes,Dorsal,Propellor,Healed,,Yes,No,No,No,,,Yes,Yes,,"Fifth manta of day. Found at 1432 swimming on surface traveling south. Trixi got in first and easily got ID shot.  Bethany then got in and she turned ventral side up and swam underneather her. Jess got in and she continued to swim underneather her (both moms got in and witnessed this). She was upsidedown swimming for 4-5 minutes.  She had pink and yellow fishing lure attached below her lower jaw. Line trailed over mouth and onto dorsum.  Eventually, she turned over and swam away.  Jessica got in again and attempted to cut line but was unable to do so. Left her swimming south at 1455.",,,0,0
36,2017,Jul,7/25/2017,21,FMP Survey,Ginger,Yes,Female,Unknown,Normal,26.736631,-80.033145,12:48,3,0.91,83,28.33,,,Hardbottom,,0,,6,2,Traveling,N/A,,North,Ebb,No ,LWI,3.9,LWI,3.9,LWI,No,,N/A,,N/A,,,,,,Yes,No,No,No,,,No,Yes,,Found Ginger at 1248 traveling North very close to shore in shallow (3ft) water. More skittish than the previous day but encounters were in very shallow water. She swam on surface. Verified it was her and left her alone at 1254 traveling East.,,,0,1
37,2017,Aug,8/2/2017,9,FMP Survey,Kevin,Yes,Male,Immature,Normal,26.664506,-80.034516,11:52,8.1,2.47,82.8,28.22,,,Sand,,0,,32,2,Traveling,N/A,,North,Flood,No,LWP,11.8,LWI,5.7,LWP,No,Yes,Ventral Pectoral,,"No Hook Visible, Line Entanglement",No,N/A,N/A,N/A,,Yes,No,No,No,,,Yes,Yes,,"Found him at 1152 traveling North, difficult to tell which direction he was swimming as he was barely moving. Pretty chill with us.  Had fishing hook with line on lateral right ventral pec fin.  Also two pieces of line trailing from under left side, one side of line had plastic bag attached.  Jess got in and cute ends of line off. Christina go in and trimmed right line and pulled on left line and it came off (possibly attached through gill slits, maybe he swallowed it??).   Hook is still in right pec fin.  Left him traveling north at 1224.",,,0,0
38,2017,Aug,8/2/2017,22,FMP Survey,Luna,Yes,Female,Unknown,Normal,26.686292,-80.032588,12:40,9.9,3.02,83,28.33,,,Sand,7,2.1,Field Estimation,18,3,Feeding,Bottom,,North,Flood,No,LWP,9.4,LWI,8.1,LWP,No,No,N/A,,N/A,No,N/A,N/A,N/A,,Yes,No,No,No,,,Yes,Yes,,"Found at 1240 traveling north. Was skittish at first then calmed down and swam near surface with CLs unrolled and mouth open (likely feeding). Found again at 1314. Nico, Trixi and Christina got it.  While Christina was alone, she turned upside down and swam for 10-20 seconds (great video). Left her swimming north at 1318. 2/6/22 VF classified bahavior as bottom feeding based on videos of manta with unrolled CFs along the bottom.",,,0,0
39,2017,Aug,8/2/2017,23,FMP Survey,,Yes,Male,Immature,Normal,26.711092,-80.029927,13:32,9.1,2.77,83.1,28.39,,,Hardbottom,7,2.1,Field Estimation,12,1,Traveling,N/A,,North,Flood,No,LWI,6.7,LWI,6.7,LWI,No,No,N/A,,N/A,No,N/A,N/A,N/A,,No,No,No,No,,,Yes,Yes,,"Found at 1332 traveling north over reef. Nico got in first and got ID shot but only from side  Very shy swimming N in 20-25 ft of water.  Jess got in in 25 ft, dove down to him and he took off.  Lost and were unable to locate again. ",,,0,0
40,2017,Aug,8/14/2017,24,FMP Survey,Nick,Yes,Male,Immature,Normal,26.544745,-80.039400,10:42,5,1.52,85.4,29.67,,,Sand,8,2.4,Field Estimation,5,2,Not Determined,N/A,,South,Low,Yes,BBI,0.2,BBI,0.2,BBI,Yes,No,N/A,,N/A,Yes,,,,,Yes,No,No,No,,,Yes,Yes,,"Found 1042 in front of BBI. Originally swimming south but then slowly swimming in circles. Bethany got in and manta flashed belly. Lost at 1047 heading offshore.  Tried to find again but were unable to.Large cut in right pectoral fin, smaller cut next to left pelvic fin. ",,,0,0
